id,title,rating_num,votes_num,stars_list,directors_list,writers_list,star_fame,director_fame,writer_fame,combined_fame,star_profile_tier,director_profile_tier,writer_profile_tier,n_stars,n_directors,n_writers
tt0030489,Soviet Border,6.1,35.0,"['Elena Tyapkina', 'Zoya Fyodorova', 'Nikolay Kryuchkov', 'Stepan Krylov', 'Nikolay Vinogradov', 'Erast Garin', 'Yuri Lavrov', 'Fayvish Arones', 'Nikolai Gorodnichev', 'Nikolay Kondratyev']",['Aleksandr Ivanov'],"['Aleksandr Ivanov', 'Pyotr Pavlenko']",21.0,2.0,8.0,10.333333333333334,Low-profile,Low-profile,Low-profile,10,1,2
tt0065636,Diary of a Mad Housewife,7.0,2400.0,"['Richard Benjamin', 'Frank Langella', 'Carrie Snodgress', 'Lorraine Cullen', 'Frannie Michel', 'Lee Addoms', 'Peter Dohanos', 'Katherine Meskill', 'Leonard Elliott', 'Valma']",['Frank Perry'],"['Eleanor Perry', 'Sue Kaufman']",33.0,14.0,9.0,18.666666666666668,Low-profile,Low-profile,Low-profile,10,1,2
tt0036065,The Kansan,5.6,452.0,"['Richard Dix', 'Jane Wyatt', 'Albert Dekker', 'Eugene Pallette', 'Victor Jory', 'Robert Armstrong', 'Beryl Wallace', 'Clem Bevans', 'Hobart Cavanaugh', 'Francis McDonald']",['George Archainbaud'],"['Harold Shumate', 'Frank Gruber']",117.0,83.0,52.0,84.0,High-profile,High-profile,High-profile,10,1,2
tt9056818,Last Breath,7.7,8200.0,"['Duncan Allcock', 'Kjetil Ove Alvestad', 'Stuart Anderson', 'Glenn Brunskill', 'Michal Cichorski', 'Filippo De Filippi', 'Filippo De Filippi', 'Craig Frederick', 'Jan Geelmuyden', 'Robert Goodwin']","['Richard da Costa', 'Alex Parkinson']",['Alex Parkinson'],3.0,2.0,2.0,2.3333333333333335,Low-profile,Low-profile,Low-profile,10,2,1
tt0076315,The Lincoln Conspiracy,5.9,195.0,"['Bradford Dillman', 'John Dehner', 'Whit Bissell', 'Robert Middleton', 'John Anderson', 'Ken Kercheval', 'Fred Grandy', 'James Green', 'Len Wayland', 'Brad Crandall']",['James L. Conway'],"['David W. Balsiger', 'Jonathan Cobbler', 'Charles E. Sellier Jr.']",68.0,4.0,1.0,24.333333333333332,Low-profile,Low-profile,Low-profile,10,1,3
tt2505938,Good Ol' Freda,7.4,2100.0,"['Freda Kelly', 'Paul McCartney', 'John Lennon', 'George Harrison', 'Ringo Starr', 'Angie McCartney', 'Billy Kinsley', 'Tony Barrow', 'Pete Best', 'Billy Hatton']",['Ryan White'],"['Jessica Hargrave', 'Ryan White']",23.0,3.0,1.0,9.0,Low-profile,Low-profile,Low-profile,10,1,2
tt0049443,The Lieutenant Wore Skirts,5.8,330.0,"['Tom Ewell', 'Sheree North', 'Rita Moreno', 'Rick Jason', 'Les Tremayne', 'Alice Reinheart', 'Gregory Walcott', 'Jean Willes', 'Edward Platt', 'Jacqueline Fontaine']",['Frank Tashlin'],"['Albert Beich', 'Frank Tashlin']",38.0,25.0,30.0,31.0,Low-profile,High-profile,High-profile,10,1,2
tt0041712,"Oh, You Beautiful Doll",6.0,142.0,"['Mark Stevens', 'June Haver', 'S.Z. Sakall', 'Charlotte Greenwood', 'Gale Robbins', 'Jay C. Flippen', 'Andrew Tombes', 'Eduard Franz', 'Sam Ash', 'Warren Jackson']",['John M. Stahl'],"['Albert Lewis', 'Arthur Lewis']",54.0,38.0,2.0,31.333333333333332,Low-profile,High-profile,Low-profile,10,1,2
tt2321549,The Babadook,6.8,260000.0,"['Essie Davis', 'Noah Wiseman', 'Daniel Henshall', 'Hayley McElhinney', 'Barbara West', 'Ben Winspear', 'Chloe Hurn', 'Jacquy Phillips', 'Bridget Walters', 'Annie Batten']",['Jennifer Kent'],['Jennifer Kent'],10.0,2.0,2.0,4.666666666666667,Low-profile,Low-profile,Low-profile,10,1,1
tt0111013,The Rook,4.9,39.0,"['Martin Donovan', 'John MacKay', 'Michael Finesilver', 'Fritz Fox', 'Karen Abrahams', 'Alice Connorton', 'David P. Dawson', 'Diane Grotke', 'Damon Rice', 'Doug Stone']",['Eran Palatnik'],"['Alan Abrams', 'Richard Lee Purvis']",31.0,1.0,1.0,11.0,Low-profile,Low-profile,Low-profile,10,1,2
