year,month,star_count,runtime,averageRating
1962,12,10,1.0,5.8
1955,8,10,1.0,6.3
2013,6,10,1.0,5.6
1984,12,10,1.0,6.0
1977,3,10,1.0,5.1
1963,10,10,1.0,5.9
1953,9,10,2.0,6.9
1965,10,10,1.0,6.2
2001,6,10,1.0,5.8
1989,9,10,1.0,5.7
1968,7,10,1.0,5.5
1980,6,10,2.0,7.1
1960,7,10,1.0,5.1
2012,3,10,1.0,7.2
2019,5,10,1.0,5.6
1966,3,10,1.0,5.3
1987,12,10,1.0,6.9
1966,6,10,1.0,5.7
1991,6,10,1.0,6.0
1943,5,10,1.0,6.0
2009,12,10,1.0,6.7
1978,12,10,1.0,4.4
2015,7,10,1.0,7.7
1971,9,10,1.0,6.4
1949,2,10,1.0,5.8
2017,6,10,1.0,6.5
1934,11,10,1.0,5.1
1933,11,10,1.0,6.4
1998,8,10,1.0,6.4
1937,9,8,1.0,6.3
1997,4,10,1.0,7.2
1988,1,10,1.0,7.3
1977,9,10,1.0,5.5
1955,3,10,1.0,6.5
1956,4,10,1.0,4.6
1996,3,10,1.0,5.4
1983,11,10,1.0,3.8
2002,1,6,1.0,3.5
1952,2,10,1.0,5.6
2022,3,10,1.0,8.2
1994,4,10,2.0,4.5
1958,8,10,1.0,6.5
1951,2,10,1.0,7.2
1941,2,10,1.0,5.8
2014,6,10,2.0,6.6
1961,11,10,2.0,5.1
1926,7,9,1.0,6.2
1967,12,10,1.0,4.6
2013,11,2,3.0,7.3
1959,1,10,2.0,7.6
2002,10,10,1.0,6.6
1935,12,10,1.0,5.0
1988,5,10,1.0,5.8
1994,9,10,1.0,5.6
1936,5,10,1.0,6.2
1983,6,10,1.0,7.1
1946,7,10,2.0,6.7
2024,11,10,1.0,6.7
1956,12,10,1.0,5.8
1971,9,10,1.0,7.0
2023,10,10,1.0,6.9
2019,4,10,1.0,3.3
1940,2,10,59.0,6.2
1976,11,5,1.0,6.2
1939,12,10,1.0,7.3
1984,3,10,1.0,4.0
1996,11,10,2.0,6.9
2002,9,10,1.0,5.6
1938,11,10,1.0,6.4
1929,4,3,1.0,6.7
1983,6,9,1.0,4.0
2004,8,10,1.0,7.0
1979,7,10,1.0,6.3
1992,10,10,1.0,6.1
2020,10,8,2.0,7.4
1984,9,10,1.0,5.5
1949,12,10,1.0,5.9
1961,8,10,1.0,4.5
1924,1,10,2.0,5.9
1976,3,10,1.0,6.0
1946,4,10,1.0,6.9
1960,9,10,1.0,6.9
1953,8,10,1.0,6.9
1975,7,10,1.0,3.7
2003,11,10,1.0,5.6
1975,9,10,1.0,7.1
1972,9,10,1.0,4.3
2015,12,10,1.0,6.2
1957,3,10,3.0,9.1
1947,10,10,1.0,6.4
1926,1,10,1.0,6.6
2018,5,10,2.0,7.4
1965,1,10,2.0,7.5
1945,1,10,3.0,5.8
1978,1,10,1.0,6.3
1969,6,5,55.0,3.6
1986,11,10,1.0,4.8
1944,2,10,1.0,6.5
2003,1,7,1.0,6.5
1971,6,10,1.0,6.6
1998,9,10,1.0,7.1
1956,10,10,1.0,6.2
2014,10,10,1.0,8.5
1935,12,10,1.0,6.7
2006,1,10,1.0,6.9
1958,8,10,1.0,5.7
1969,9,5,1.0,4.5
1999,4,8,2.0,7.9
2009,12,10,2.0,6.6
1939,4,10,56.0,5.7
2016,1,10,1.0,6.8
2022,10,10,2.0,5.9
1998,2,10,1.0,4.4
2007,8,10,2.0,6.1
2023,3,10,1.0,8.1
1982,9,5,2.0,5.7
2006,3,10,1.0,6.8
1986,10,10,1.0,7.2
2002,4,10,1.0,6.4
1942,9,10,1.0,6.8
2019,4,10,1.0,6.5
1969,2,10,1.0,5.7
1971,9,10,1.0,4.7
1946,1,10,1.0,6.2
1985,1,10,1.0,5.8
2004,2,3,1.0,6.0
1979,8,10,1.0,7.7
1974,3,10,1.0,5.8
1943,7,10,1.0,6.7
1934,11,10,1.0,6.1
2021,4,10,1.0,8.2
1943,12,10,1.0,6.5
1932,4,10,1.0,6.7
1959,11,10,1.0,8.0
1970,8,10,1.0,6.0
1939,12,10,1.0,6.4
1939,3,10,1.0,6.1
1987,8,10,2.0,8.1
2024,3,10,1.0,3.7
1943,8,10,1.0,5.1
1974,5,10,1.0,4.8
1989,4,10,2.0,8.0
1968,9,10,1.0,5.4
1959,7,10,1.0,7.1
1980,5,9,1.0,5.8
1944,10,10,1.0,6.1
2006,3,10,1.0,5.7
1992,6,10,3.0,6.6
1988,9,10,1.0,4.8
1941,8,10,1.0,7.5
2019,2,10,1.0,6.5
1923,6,8,1.0,6.6
1975,7,10,1.0,6.1
2009,3,10,1.0,4.4
1930,1,5,1.0,5.0
1937,8,10,1.0,6.7
1976,3,10,1.0,6.0
1989,2,10,1.0,6.7
1993,3,10,1.0,6.3
1954,7,10,1.0,6.2
1976,12,10,2.0,6.7
1952,7,10,1.0,6.2
1940,2,10,1.0,7.5
2009,10,10,1.0,6.6
1967,10,10,1.0,7.5
1921,10,7,50.0,6.4
1971,5,10,1.0,5.7
1986,9,10,1.0,6.6
1941,12,10,1.0,5.0
1963,9,10,1.0,7.4
1964,7,10,1.0,8.1
2010,4,10,1.0,5.7
1936,3,10,1.0,6.6
2008,10,3,1.0,7.1
1950,10,10,1.0,6.6
1922,5,8,1.0,4.8
1959,3,10,1.0,6.4
1982,5,10,1.0,3.0
1954,4,10,1.0,6.4
1968,9,10,1.0,5.6
1972,1,10,1.0,6.3
1929,9,10,1.0,5.1
1976,12,10,1.0,6.2
1933,5,10,59.0,5.4
1950,3,10,1.0,7.0
1995,4,10,1.0,6.8
1943,9,10,1.0,6.5
1959,2,10,1.0,6.2
